0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
0.00 0.00 -0.47 0.98 -0.51 0.00 0.00 0.00 0.00 -0.47 0.98 -0.51 0.00
0.00 0.00 -1.83 3.84 -2.02 0.00 0.00 0.00 0.00 -1.83 3.84 -2.02 0.00
0.00 0.00 -4.03 8.47 -4.44 0.00 0.00 0.00 0.00 -4.03 8.47 -4.44 0.00
0.00 0.00 -7.02 14.76 -7.74 0.00 0.00 0.00 0.00 -7.02 14.76 -7.74 0.00
0.00 0.00 -10.74 22.58 -11.84 0.00 0.00 0.00 0.00 -10.74 22.58 -11.84 0.00
0.00 0.00 -15.14 31.83 -16.69 0.00 0.00 0.00 0.00 -15.14 31.83 -16.69 0.00
0.00 0.00 -20.18 42.41 -22.24 0.00 0.00 0.00 0.00 -20.18 42.41 -22.24 0.00
0.00 0.00 -25.79 54.21 -28.42 0.00 0.00 0.00 0.00 -25.79 54.21 -28.42 0.00
0.00 0.00 -31.93 67.13 -35.20 0.00 0.00 0.00 0.00 -31.93 67.13 -35.20 0.00
0.00 0.00 -38.56 81.06 -42.50 0.00 0.00 0.00 0.00 -38.56 81.06 -42.50 0.00
0.00 0.00 -45.63 95.92 -50.29 0.00 0.00 0.00 0.00 -45.63 95.92 -50.29 0.00
0.00 0.00 -53.09 111.60 -58.51 0.00 0.00 0.00 0.00 -53.09 111.60 -58.51 0.00
0.00 0.00 -60.90 128.02 -67.12 0.00 0.00 0.00 0.00 -60.90 128.02 -67.12 0.00
0.00 0.00 -69.01 145.08 -76.06 0.00 0.00 0.00 0.00 -69.01 145.08 -76.06 0.00
0.00 0.00 -77.39 162.69 -85.30 0.00 0.00 0.00 0.00 -77.39 162.69 -85.30 0.00
0.00 0.00 -85.99 180.78 -94.78 0.00 0.00 0.00 0.00 -85.99 180.78 -94.78 0.00
0.00 0.00 -94.78 199.25 -104.47 0.00 0.00 0.00 0.00 -94.78 199.25 -104.47 0.00
0.00 0.00 -103.72 218.03 -114.32 0.00 0.00 0.00 0.00 -103.72 218.03 -114.32 0.00
0.00 0.00 -112.76 237.04 -124.28 0.00 0.00 0.00 0.00 -112.76 237.04 -124.28 0.00
0.00 0.00 -121.87 256.20 -134.33 0.00 0.00 0.00 0.00 -121.87 256.20 -134.33 0.00
0.00 0.00 -131.03 275.45 -144.42 0.00 0.00 0.00 0.00 -131.03 275.45 -144.42 0.00
0.00 0.00 -140.19 294.70 -154.51 0.00 0.00 0.00 0.00 -140.19 294.70 -154.51 0.00
0.00 0.00 -149.32 313.89 -164.58 0.00 0.00 0.00 0.00 -149.32 313.89 -164.58 0.00
0.00 0.00 -158.39 332.96 -174.57 0.00 0.00 0.00 0.00 -158.39 332.96 -174.57 0.00
0.00 0.00 -167.37 351.84 -184.47 0.00 0.00 0.00 0.00 -167.37 351.84 -184.47 0.00
0.00 0.00 -176.23 370.47 -194.24 0.00 0.00 0.00 0.00 -176.23 370.47 -194.24 0.00
0.00 0.00 -184.95 388.79 -203.85 0.00 0.00 0.00 0.00 -184.95 388.79 -203.85 0.00
0.00 0.00 -193.49 406.75 -213.26 0.00 0.00 0.00 0.00 -193.49 406.75 -213.26 0.00
0.00 0.00 -201.83 424.29 -222.46 0.00 0.00 0.00 0.00 -201.83 424.29 -222.46 0.00
0.00 0.00 -209.95 441.35 -231.40 0.00 0.00 0.00 0.00 -209.95 441.35 -231.40 0.00
0.00 0.00 -217.82 457.90 -240.08 0.00 0.00 0.00 0.00 -217.82 457.90 -240.08 0.00
0.00 0.00 -225.42 473.87 -248.46 0.00 0.00 0.00 0.00 -225.42 473.87 -248.46 0.00
0.00 0.00 -232.73 489.24 -256.51 0.00 0.00 0.00 0.00 -232.73 489.24 -256.51 0.00
0.00 0.00 -239.73 503.95 -264.23 0.00 0.00 0.00 0.00 -239.73 503.95 -264.23 0.00
0.00 0.00 -246.40 517.97 -271.58 0.00 0.00 0.00 0.00 -246.40 517.97 -271.58 0.00
0.00 0.00 -252.72 531.26 -278.55 0.00 0.00 0.00 0.00 -252.72 531.26 -278.55 0.00
0.00 0.00 -258.68 543.79 -285.11 0.00 0.00 0.00 0.00 -258.68 543.79 -285.11 0.00
0.00 0.00 -264.26 555.52 -291.26 0.00 0.00 0.00 0.00 -264.26 555.52 -291.26 0.00
0.00 0.00 -269.44 566.41 -296.97 0.00 0.00 0.00 0.00 -269.44 566.41 -296.97 0.00
0.00 0.00 -274.22 576.46 -302.24 0.00 0.00 0.00 0.00 -274.22 576.46 -302.24 0.00
0.00 0.00 -278.58 585.62 -307.05 0.00 0.00 0.00 0.00 -278.58 585.62 -307.05 0.00
0.00 0.00 -282.51 593.88 -311.38 0.00 0.00 0.00 0.00 -282.51 593.88 -311.38 0.00
0.00 0.00 -286.00 601.22 -315.22 0.00 0.00 0.00 0.00 -286.00 601.22 -315.22 0.00
0.00 0.00 -289.04 607.61 -318.58 0.00 0.00 0.00 0.00 -289.04 607.61 -318.58 0.00
0.00 0.00 -291.62 613.05 -321.43 0.00 0.00 0.00 0.00 -291.62 613.05 -321.43 0.00
0.00 0.00 -293.75 617.52 -323.77 0.00 0.00 0.00 0.00 -293.75 617.52 -323.77 0.00
0.00 0.00 -295.41 621.00 -325.60 0.00 0.00 0.00 0.00 -295.41 621.00 -325.60 0.00
0.00 0.00 -296.59 623.50 -326.90 0.00 0.00 0.00 0.00 -296.59 623.50 -326.90 0.00
0.00 0.00 -297.31 625.00 -327.69 0.00 0.00 0.00 0.00 -297.31 625.00 -327.69 0.00
